ID,Street Name,Street Qualifier,Begin Measure,End Measure,School,Speed Limit,Effective Days,Effective Time,Legislation Link,Location
246,Bartlet Ave,A,297.92785,591.33662,Riverview School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.125902394052 49.867018983043, -97.126360255619 49.866866160368, -97.126484589263 49.86682466024, -97.126608922696 49.866783159976, -97.128492711469 49.866154363124, -97.128618833346 49.866112262598, -97.128741317749 49.866071376087, -97.129529186954 49.865808373549)"
268,St George Rd,A,471.49811,781.94799,St. George School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.105756198485 49.849501341953, -97.105696954181 49.849429682062, -97.105572556669 49.849279214293, -97.105438573992 49.849117151399, -97.10516490609 49.848786124127, -97.10477754272 49.848317562707, -97.104384147084 49.847841694117, -97.104162404795 49.847573460297, -97.104118336204 49.847519934608, -97.104062821054 49.847452505745, -97.103848445243 49.847194653691, -97.103719704519 49.847039802364)"
295,Machray Ave,A,2787.68902,3114.0229,Robertson School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.157356894334 49.933012025389, -97.157845591837 49.93316899403, -97.158376753067 49.933339598461, -97.158908100217 49.933510258989, -97.159438152746 49.933680500099, -97.159969600735 49.933851185783, -97.160499052187 49.934021226638, -97.16061081756 49.934057287091, -97.16067332404 49.934077367496, -97.160799261228 49.934117825746, -97.161031640649 49.934192478815, -97.161180794087 49.934240394749, -97.16142695318 49.934319473079)"
30,Rupert Ave,A,45.21694,180.90373,Children's House,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.134538519209 49.899873157482, -97.134680679406 49.899918549889, -97.134850130923 49.899963091093, -97.134896607867 49.89997530774, -97.135516094369 49.9001730983, -97.135569556844 49.900194062815, -97.135683370687 49.900238693082, -97.136230696181 49.900413438682)"
143,Stella Ave,A,312.50967,545.19588,Niji Mahkwa School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.143044903938 49.912926028065, -97.145231868068 49.913627575788, -97.145946811739 49.913856906505)"
144,Jefferson Ave,A,2067.16193,2301.12503,Faith Academy Middle School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.139123502699 49.940019007515, -97.139651711824 49.940189462345, -97.141630281833 49.940827921531, -97.141744262989 49.940864700256, -97.142039201529 49.940959868399)"
163,Sherburn St,A,2825.83569,3068.36389,Principal Sparling School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.17457120454 49.903474523574, -97.174541510054 49.903864645993, -97.174533101114 49.903975124475, -97.174416412627 49.905508083888, -97.174405397875 49.905652780079)"
191,Wolseley Ave,A,147.52452,406.73559,Mulvey School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.160276133044 49.880295868878, -97.160367042434 49.88029888785, -97.160874386114 49.880315734696, -97.161067721642 49.880324054469, -97.161284678379 49.880333390343, -97.161663436278 49.880346384014, -97.162558450751 49.880377083445, -97.162589941158 49.880376109609, -97.162621198103 49.880373451562, -97.162652006237 49.880369127616, -97.162723434207 49.880352448966, -97.162825485537 49.880326845256, -97.163024303987 49.880260767192, -97.163148869254 49.880219367185, -97.163448618057 49.880119743044, -97.163655927761 49.880050841028, -97.163751521919 49.880019068956)"
218,John Forsyth Rd,A,1258.19577,1530.06517,Ecole Christine-Lesperance,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.093175072009 49.80858645499, -97.092917753486 49.808697220153, -97.092437368469 49.808904003459, -97.091904238219 49.809133625002, -97.091735132636 49.809206458543, -97.091642001602 49.809247140429, -97.0914177618 49.809345093201, -97.090769602611 49.809566807291, -97.090618311517 49.80961741652, -97.090484268884 49.809662255614, -97.089935330187 49.809835774893)"
225,Powers St,A,3039.59642,3316.42968,Seven Oaks Middle School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.128077214241 49.93587694392, -97.127983675065 49.935998187382, -97.127779196151 49.936263226103, -97.12772144815 49.93634707947, -97.127696813505 49.936382850269, -97.127454130147 49.936682477494, -97.127410522815 49.936738175304, -97.127367846457 49.936792683878, -97.126560803334 49.937838079051, -97.1264982851 49.937919091101, -97.126437275884 49.937998147441, -97.126355408347 49.938104231732)"
